example,Descriptive,IPA,CMU,CODE,SIL1,SIL2,SIL3,SIL4,UNVOICE,VOICE,SONORANT,NONSON,LIQUID,SEMI-GLID,VOCALIC,STOP,NASAL,FRICATIVE,AFFRICATE,APPROXIMANT,LATERAL,BILABIAL,LABIODENTAL,DENTAL,ALVEOLAR,POSTALVEOLAR,PALATAL,VELAR,GLOTTAL,FB1A,FB2A,FB3A,FB4A,FB5A,HL1A,HL2A,HL3A,HL4A,HL5A,HL6A,FB1B,FB2B,FB3B,FB4B,FB5B,HL1B,HL2B,HL3B,HL4B,HL5B,HL6B,,SUM,,,,,
bat,ae,æ,AE,A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,,4,2,0.5,0.5,0.5,0.5
belong,schwa,,MISS,SKIP/x,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
but,^,ʌ,AH,x,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0.05,0.4,0.05,0,0.05,0.4,0.05,0,0,0,0,0.05,0.4,0.05,,4,2,0.5,0.5,0.5,0.5
boot,u,u,UW,u,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,0.4,0.1,0,0,0,0,,4,2,0.5,0.5,0.5,0.5
book,U,ʊ,UH,U,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0.05,0.4,0.05,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0,0,,4,2,0.5,0.5,0.5,0.5
boat,o,o,OW,o,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0,,4,2,0.5,0.5,0.5,0.5
dog,c,ɔ,AO,c,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05,,4,2,0.5,0.5,0.5,0.5
box,a,ɑ,AA,a,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0.1,0.4,0,0,0,0.1,0.4,0,0,0,0,0.1,0.4,,4,2,0.5,0.5,0.5,0.5
bite,aI,aɪ,AY,Y,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0,,4,2,0.5,0.5,0.5,0.5
boy,cI,ɔɪ ,OY,O,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0,,4,2,0.5,0.5,0.5,0.5
bout,aU,aʊ,AW,W,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0,0.05,0.4,0.05,0,0,0.05,0.4,0.05,0.05,0.4,0.05,0,0,0,,4,2,0.5,0.5,0.5,0.5
,SILENCE,NA,MISSING,-,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
